epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.6727702584584554,1.3720197639465332,0.46286666666666665,0.5948,0.001
2,1.3934102331797282,1.281758463859558,0.6145111111111111,0.6556,0.0009990133642141358
3,1.2922718211491904,1.2026723205566405,0.6673111111111111,0.7024,0.000996057350657239
4,1.2350163305282593,1.1451803380966186,0.6970666666666666,0.7246,0.0009911436253643444
5,1.1852802252875434,1.0991748037338256,0.7225555555555555,0.754,0.0009842915805643156
6,1.146279489517212,1.1834805555343628,0.743,0.7138,0.0009755282581475769
7,1.1103715556038751,1.1517322822570801,0.7607111111111111,0.7232,0.0009648882429441258
8,1.0815878407372368,1.2162561822891236,0.7771111111111111,0.7008,0.0009524135262330099
9,1.0505946806059943,1.0561217142105102,0.7930888888888888,0.7702,0.0009381533400219318
10,1.022940837203132,1.1765339656829834,0.8065777777777777,0.711,0.0009221639627510075
11,1.0016110353893704,1.1643495485305786,0.8183555555555555,0.7216,0.0009045084971874736
12,0.975999241511027,1.1044386367797852,0.8303333333333334,0.749,0.0008852566213878945
13,0.9523628371874492,1.0213912702560424,0.8399333333333333,0.786,0.0008644843137107056
14,0.9292924790700277,1.008091745376587,0.8546,0.7954,0.0008422735529643443
15,0.906882322798835,1.0268083135604857,0.8658444444444444,0.7872,0.0008187119948743448
16,0.8902703650898404,1.0472492733001708,0.8762222222222222,0.7768,0.0007938926261462366
17,0.869880045053694,1.0315486387252808,0.8847555555555555,0.7888,0.0007679133974894982
18,0.8527207154379951,1.020727403831482,0.8959555555555555,0.792,0.0007408768370508576
19,0.8375089248339335,1.0769400226593018,0.9023333333333333,0.764,0.0007128896457825362
20,0.8164262205017938,1.033978995513916,0.9154222222222222,0.787,0.0006840622763423389
21,0.8084490891138713,1.001289355278015,0.9190666666666667,0.8038,0.0006545084971874735
22,0.7897276851760017,1.0425984712600709,0.9292222222222222,0.7856,0.0006243449435824271
23,0.7797586046748691,1.0347363348007201,0.9342444444444444,0.7874,0.0005936906572928622
24,0.7671348206837972,1.020974497795105,0.9398888888888889,0.7892,0.000562666616782152
25,0.755560725678338,1.0281630243301392,0.9471555555555555,0.7984,0.0005313952597646566
26,0.7401946608013577,1.0300146984100342,0.9540888888888889,0.7952,0.0004999999999999998
27,0.7317264401965671,1.0363090003967286,0.9592444444444445,0.7866,0.00046860474023534314
28,0.7254333755281236,1.0181485958099366,0.9616,0.7918,0.00043733338321784774
29,0.7146039984279209,1.0128534587860107,0.9676,0.8018,0.00040630934270713756
30,0.7053578975889417,1.0072373920440674,0.9726666666666667,0.798,0.00037565505641757246
31,0.6992379090944926,1.0264211687088012,0.9748444444444444,0.7914,0.00034549150281252633
32,0.6927545935312907,1.0092368741989135,0.9765777777777778,0.8022,0.00031593772365766105
33,0.68447740811242,1.009033067703247,0.9801555555555556,0.802,0.00028711035421746355
34,0.6794820340050591,1.0032021768569945,0.9825333333333334,0.8,0.0002591231629491422
35,0.6732828550338745,1.0178711503982545,0.9842666666666666,0.8022,0.00023208660251050145
36,0.6677855157534281,1.0148098707199096,0.9866,0.8006,0.00020610737385376337
37,0.6644000880771214,1.0079837924957276,0.9874888888888889,0.7996,0.00018128800512565502
38,0.6599311521848042,1.004687525177002,0.9897111111111111,0.803,0.00015772644703565555
39,0.6557247510168287,1.0034171020507812,0.9909777777777777,0.8026,0.00013551568628929425
40,0.6527797221289741,1.0037336555480958,0.9902888888888889,0.8012,0.00011474337861210535
41,0.649685658285353,1.0050560417175294,0.9917111111111111,0.804,9.549150281252626e-05
42,0.6473278511471219,1.0073439226150513,0.9922444444444445,0.8026,7.783603724899252e-05
43,0.6438336384561327,1.0054150205612182,0.9934222222222222,0.8034,6.184665997806817e-05
44,0.642227975040012,1.0058296522140502,0.9937111111111111,0.8054,4.7586473766990294e-05
45,0.6397736208173964,1.0087118297576905,0.9940666666666667,0.8018,3.5111757055874305e-05
46,0.6399091433207194,1.0041299379348756,0.9946888888888888,0.8022,2.4471741852423218e-05
47,0.6373082565837436,1.0063666006088257,0.9943555555555555,0.8048,1.5708419435684507e-05
48,0.6375100941340128,1.0043804521560669,0.9946444444444444,0.8032,8.856374635655634e-06
49,0.6361808190663656,1.0049128944396972,0.9952444444444445,0.8028,3.942649342761115e-06
50,0.6367586891916063,1.004217401123047,0.9945777777777778,0.803,9.866357858642198e-07
