epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.7875241297192044,1.8511248039245605,0.3986,0.3906,0.01
2,1.5537966745800442,1.3905169229507446,0.5196888888888889,0.594,0.009990133642141357
3,1.4512995903862846,1.41730342502594,0.5761111111111111,0.6052,0.009960573506572389
4,1.3801225455390083,1.2518170045852661,0.6162444444444445,0.6706,0.009911436253643442
5,1.3378970830281576,1.346974294281006,0.637,0.6376,0.009842915805643154
6,1.2968369691848756,1.3816644399642943,0.6586,0.6158,0.009755282581475767
7,1.2660880255381266,1.2263614343643188,0.6750888888888888,0.6812,0.009648882429441256
8,1.2345343217425877,1.3433096439361571,0.692,0.6348,0.009524135262330098
9,1.2093636011123656,1.0900391901016235,0.7002,0.7496,0.009381533400219317
10,1.1910922236760457,1.3095543239593506,0.7113111111111111,0.6472,0.009221639627510075
11,1.1699279458787706,1.6339690519332886,0.7228222222222223,0.5506,0.009045084971874737
12,1.1510268342336019,1.0748287271499635,0.7316888888888889,0.7626,0.008852566213878947
13,1.1409855153401693,1.121148825454712,0.7364888888888889,0.7286,0.008644843137107058
14,1.12283010597229,1.282549446105957,0.7453333333333333,0.6562,0.008422735529643444
15,1.107182254939609,1.0334664878845214,0.7530444444444444,0.7838,0.00818711994874345
16,1.09914292617374,1.09179267578125,0.7576444444444445,0.751,0.007938926261462368
17,1.0856653210110134,1.5078626823425294,0.7628666666666667,0.5924,0.007679133974894984
18,1.0790278810289171,1.0477874643325806,0.7666222222222222,0.7746,0.007408768370508577
19,1.0647905543433296,1.0530285682678222,0.7737555555555555,0.7692,0.0071288964578253644
20,1.0513401470608181,1.0170272563934326,0.7813777777777777,0.788,0.0068406227634233915
21,1.0443809833314683,1.0706484262466431,0.7851333333333333,0.7594,0.006545084971874738
22,1.0360242716259427,1.000377544784546,0.7893111111111111,0.7988,0.006243449435824274
23,1.0234554598490397,0.9909334192276001,0.7950666666666667,0.8004,0.005936906572928625
24,1.017487057325575,0.9980637348175049,0.7946222222222222,0.7934,0.005626666167821524
25,1.0069846533881293,0.9497375591278077,0.8006222222222222,0.8152,0.005313952597646569
26,1.0027458126703899,0.9524213172912598,0.8060222222222222,0.8228,0.005000000000000002
27,0.9977263965182834,0.9856690067291259,0.8072,0.8028,0.004686047402353435
28,0.9908360586802165,0.9551250469207764,0.8101555555555555,0.8136,0.004373333832178481
29,0.9814127984364828,0.9705579113006592,0.8154,0.8082,0.0040630934270713785
30,0.9756138655026754,0.9924204273223877,0.8175777777777777,0.7978,0.0037565505641757274
31,0.968772212600708,0.9452535645484924,0.8182,0.819,0.0034549150281252662
32,0.9642140980190701,0.9758090923309326,0.8204,0.8054,0.0031593772365766134
33,0.9583908017264472,0.9466381019592285,0.8237333333333333,0.8254,0.0028711035421746384
34,0.9570255867216322,0.910046969795227,0.8255555555555556,0.8412,0.002591231629491424
35,0.9509086105558607,0.9077500400543212,0.8289111111111112,0.8394,0.0023208660251050166
36,0.9435703776041666,0.91610106716156,0.8317777777777777,0.8338,0.0020610737385376356
37,0.9376651419957479,0.9356316074371338,0.8338888888888889,0.8256,0.001812880051256552
38,0.9328330702039931,0.8941628238677979,0.8365555555555556,0.8412,0.001577264470356557
39,0.9338818749533759,0.8959105800628662,0.8386888888888889,0.8442,0.0013551568628929439
40,0.9269789162529839,0.9015574119567871,0.8423111111111111,0.8402,0.0011474337861210548
41,0.9241260040071275,0.8894188219070435,0.8427333333333333,0.846,0.0009549150281252636
42,0.9238046121809218,0.8959727146148682,0.8428,0.8422,0.000778360372489926
43,0.9173745904286702,0.8869776672363281,0.8448222222222223,0.8496,0.0006184665997806823
44,0.9172738116794162,0.8831494102478027,0.8462444444444445,0.849,0.0004758647376699034
45,0.9129454012764825,0.8818758303642273,0.8486444444444444,0.8484,0.0003511175705587434
46,0.9136438345061408,0.8812750221252441,0.8477333333333333,0.8466,0.00024471741852423245
47,0.9113110591358609,0.8797378519058228,0.8482666666666666,0.8508,0.00015708419435684522
48,0.9123370201852586,0.879405872631073,0.8480888888888889,0.8502,8.856374635655642e-05
49,0.9106121421813965,0.8785777695655823,0.8499111111111111,0.8496,3.942649342761119e-05
50,0.906852514161004,0.8784889801025391,0.8504,0.8504,9.866357858642208e-06
