epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.6727702584584554,1.3720197639465332,0.46286666666666665,0.5948,0.001
2,1.3948046793407864,1.2970600107192993,0.6141777777777778,0.648,0.001
3,1.2932165142907037,1.2024679697036744,0.6682,0.7002,0.001
4,1.2370869068145751,1.1254974544525147,0.6970888888888889,0.7378,0.001
5,1.1874007358339098,1.095309906578064,0.7207333333333333,0.7518,0.001
6,1.1515991007698907,1.186761788368225,0.7420444444444444,0.708,0.001
7,1.116883052190145,1.179710873413086,0.7576,0.7068,0.001
8,1.0894120902591282,1.2080835006713868,0.7734666666666666,0.6992,0.001
9,1.0625454492357043,1.079786037826538,0.7893111111111111,0.759,0.001
10,1.033483104938931,1.1595616716384887,0.8009555555555555,0.7198,0.001
11,1.016550147766537,1.0964378889083863,0.8094444444444444,0.7482,0.001
12,0.9903206521352133,1.0554003651618957,0.8225777777777777,0.7658,0.001
13,0.9715283887015449,1.032271918106079,0.8324444444444444,0.788,0.001
14,0.9527349122365316,1.042655178451538,0.8427777777777777,0.7748,0.001
15,0.9327127710024515,1.0418593280792237,0.8534222222222222,0.7826,0.001
16,0.9187328117900424,1.0213229085922242,0.8598666666666667,0.7914,0.001
17,0.900714095073276,1.028902205467224,0.8701333333333333,0.791,0.001
18,0.8878867581261529,1.094024228477478,0.8758666666666667,0.7528,0.001
19,0.880485485680898,1.0978718887329102,0.8815777777777778,0.7514,0.001
20,0.8648238081084357,1.0791276239395142,0.8881333333333333,0.768,0.001
21,0.8580359284930759,1.0581304624557495,0.8920888888888889,0.776,0.001
22,0.8441205698649089,1.0863208967208862,0.9001111111111111,0.767,0.001
23,0.8361557880189684,1.0073605498313905,0.9042888888888889,0.7932,0.001
24,0.8277694530487061,1.112907290840149,0.9084,0.7542,0.001
25,0.8181285780588786,1.0674759014129638,0.9144,0.7658,0.001
26,0.8114883312861124,1.0419205963134766,0.9189111111111111,0.777,0.001
27,0.8068517157554627,1.026881959438324,0.9198222222222222,0.7876,0.001
28,0.8021728043450249,1.0334071102142335,0.9218444444444445,0.7878,0.001
29,0.7949704481336806,1.0714719009399414,0.9260444444444444,0.7752,0.001
30,0.7929860792901781,1.0907235641479491,0.9266888888888889,0.7736,0.001
31,0.7888621207767063,1.0749782108306885,0.9293111111111111,0.767,0.001
32,0.782206778992547,1.075067398071289,0.9313555555555556,0.775,0.001
33,0.7821884838104248,1.0506012519836425,0.9325333333333333,0.787,0.001
34,0.7762516080220541,1.1677737682342528,0.9349555555555555,0.7306,0.001
35,0.770506585237715,1.0939849912643433,0.9382222222222222,0.7648,0.001
36,0.7683669359207154,1.050399910736084,0.9395555555555556,0.779,0.001
37,0.7656719007703993,1.1007697011947633,0.9416666666666667,0.7546,0.001
38,0.7627171486642625,1.0562953620910644,0.9428222222222222,0.7922,0.001
