epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.0881291644202338,1.926545470046997,0.2258,0.2834,0.1
2,1.7867070509168836,1.7312103086471557,0.38895555555555555,0.4388,0.1
3,1.5208812743292914,1.6252301042556763,0.5477555555555556,0.4688,0.1
4,1.3888212527169121,1.4225222015380858,0.6223111111111111,0.5848,0.1
5,1.3210930110295613,1.594998401260376,0.6599777777777778,0.5382,0.1
6,1.2656788194656372,1.4632877925872803,0.6900222222222222,0.5844,0.1
7,1.2333535308202108,1.2083857082366944,0.7028222222222222,0.6976,0.1
8,1.1980270947350395,1.2625302368164062,0.7226,0.677,0.1
9,1.1658976528167724,1.4433142183303833,0.7389333333333333,0.5886,0.1
10,1.1361865242852105,1.682626366043091,0.7523777777777778,0.4936,0.1
11,1.1170369858000013,1.0852668725967407,0.7628666666666667,0.7628,0.1
12,1.1007073499891493,1.4225984256744384,0.7688444444444444,0.5876,0.1
13,1.0847705999586317,1.1928833368301393,0.7769111111111111,0.7032,0.1
14,1.0703010618633695,1.2270853797912598,0.7822444444444444,0.691,0.1
15,1.0534497694651286,1.1870824935913087,0.7903777777777777,0.701,0.1
16,1.047022933684455,1.4705515474319457,0.7946222222222222,0.5728,0.1
17,1.0275783882564968,1.4753917039871216,0.8041555555555555,0.5814,0.1
18,1.0336294608645968,1.1792209379196168,0.801,0.7156,0.1
19,1.0275955120934381,1.1741270233154297,0.8016444444444445,0.7162,0.1
20,1.020361982705858,1.2027981288909912,0.8082888888888888,0.7042,0.1
21,1.0180024493959214,1.2400515203475952,0.809,0.6872,0.1
22,1.0081298277113173,1.2130748044967652,0.8128888888888889,0.6992,0.1
23,1.0069755608876547,1.178641407775879,0.8129111111111111,0.7144,0.1
24,1.0055865630255805,1.605433959388733,0.8142666666666667,0.535,0.1
25,1.000391660393609,1.4595206045150757,0.8189111111111111,0.5898,0.1
26,1.0044941583209568,1.1061736602783203,0.8176222222222223,0.746,0.1
