experiment_name,arch,batch_size,lr,dropout,augment,optimizer,scheduler,normalize,label_smoothing,weight_decay,num_params,best_epoch,epochs_trained,early_stopped,best_val_loss,val_accuracy,val_f1_macro,test_accuracy,test_f1_macro,timestamp
baseline_bs64_lr0.1_drop0.5_aug0,baseline,64,0.1,0.5,0,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.9951,0.809,0.8094,,,2026-06-07 20:16:16
baseline_bs64_lr0.1_drop0.5_aug1,baseline,64,0.1,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.925,0.8304,0.8303,,,2026-06-07 20:25:27
baseline_bs128_lr0.1_drop0.25_aug0,baseline,128,0.1,0.25,0,sgd,cosine,0,0.1,0.0005,620586,49,50,True,1.0142,0.798,0.7977,,,2026-06-07 20:28:19
baseline_bs128_lr0.1_drop0.25_aug1,baseline,128,0.1,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8339,0.8716,0.8715,,,2026-06-07 20:35:06
baseline_bs128_lr0.1_drop0.5_aug0,baseline,128,0.1,0.5,0,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.9831,0.807,0.807,,,2026-06-07 20:38:00
baseline_bs128_lr0.1_drop0.5_aug1,baseline,128,0.1,0.5,1,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.8371,0.8676,0.8675,,,2026-06-07 20:44:41
baseline_bs256_lr0.1_drop0.25_aug0,baseline,256,0.1,0.25,0,sgd,cosine,0,0.1,0.0005,620586,46,50,True,1.0259,0.7924,0.7928,,,2026-06-07 20:46:31
baseline_bs256_lr0.1_drop0.25_aug1,baseline,256,0.1,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8429,0.867,0.8669,,,2026-06-07 20:52:01
baseline_bs256_lr0.1_drop0.5_aug0,baseline,256,0.1,0.5,0,sgd,cosine,0,0.1,0.0005,620586,48,50,False,1.0089,0.8022,0.8025,,,2026-06-07 20:53:52
baseline_bs256_lr0.1_drop0.5_aug1,baseline,256,0.1,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8384,0.8682,0.8682,,,2026-06-07 20:59:24
vgg_like_bs128_lr0.1_drop0.25_aug1,vgg_like,128,0.1,0.25,1,sgd,cosine,1,0.1,0.0005,3968202,198,200,True,0.6557,0.9384,0.9386,0.9383,0.9382,2026-06-07 22:13:07
resnet_like_bs128_lr0.1_drop0.0_aug1,resnet_like,128,0.1,0.0,1,sgd,cosine,1,0.1,0.0005,11173962,197,200,True,0.6205,0.9538,0.9538,0.9519,0.9519,2026-06-07 23:32:08
