epoch,train_loss,val_loss,train_acc,val_acc,lr
92,0.6557378784285651,0.7396273710250855,0.9343333333333333,0.8974,0.05704506159687917
93,0.6570778933737013,0.7613560945510864,0.9339777777777778,0.8888,0.05626666167821525
94,0.6534098792394002,0.8104373037338257,0.9350666666666667,0.8686,0.05548671555455229
95,0.6515424917009142,0.7681892627716065,0.9365111111111111,0.8924,0.05470541566592574
96,0.6479943725056119,0.7923620334625244,0.9379333333333333,0.8792,0.05392295478639227
97,0.646673735639784,0.7536172112464905,0.9380222222222222,0.8942,0.05313952597646569
98,0.6440722844229804,0.747512347316742,0.9403555555555555,0.8918,0.05235532253548215
99,0.6478125548256768,0.7793711819648743,0.9380888888888889,0.8818,0.05157053795390643
100,0.6385509650972154,0.7470755208969116,0.9415333333333333,0.8972,0.05078536586559105
101,0.6390650758213468,0.7600559209823609,0.9414666666666667,0.892,0.05000000000000001
102,0.6401527276992798,0.7893617206573487,0.9408444444444445,0.8776,0.049214634134408984
103,0.6340030292828878,0.7887602162361145,0.9437777777777778,0.8794,0.048429462046093594
104,0.6354239178551568,0.7814119035720826,0.9432666666666667,0.878,0.04764467746451788
105,0.6315144467565749,0.7766600118637085,0.9455555555555556,0.8818,0.04686047402353434
106,0.6310465003967285,0.7524983316421509,0.9437555555555556,0.8858,0.04607704521360777
107,0.6263148340861002,0.739200115776062,0.9470444444444445,0.898,0.045294584334074295
108,0.624253539191352,0.7808079924583435,0.9475111111111111,0.8778,0.04451328444544775
109,0.6242255808724297,0.7371318092346192,0.9485555555555556,0.9016,0.043733338321784804
110,0.6180877131462097,0.7034173487663269,0.9504222222222222,0.9138,0.04295493840312089
111,0.6196220024532741,0.7467272699356079,0.9500666666666666,0.8986,0.04217827674798847
112,0.6148665619320339,0.7605786052703858,0.9520444444444445,0.8864,0.04140354498602953
113,0.612964380147722,0.7541498598098755,0.9528222222222222,0.8962,0.040630934270713785
114,0.6145971207300822,0.756231907081604,0.9516666666666667,0.8976,0.039860635232174396
115,0.6074235172059801,0.8475754917144775,0.9551555555555555,0.862,0.0390928379301729
116,0.6064480142593384,0.7493060696601868,0.9552222222222222,0.8986,0.03832773180720474
117,0.6049797537485758,0.703336398601532,0.9563111111111111,0.9132,0.03756550564175727
118,0.6034464522043864,0.7592782536506653,0.9569555555555556,0.894,0.03680634750173137
119,0.6016547235594856,0.7073001061439514,0.9576666666666667,0.9082,0.03605044469803855
120,0.6022472801420423,0.7093639198303223,0.9573777777777778,0.9116,0.03529798373838482
